link,gambar,nama,harga,diskon
https://shopee.co.id/Pakan-Pelet-Benih-Ikan-PRIMA-FEED-PF1000-Curah-1kg-i.223069711.46960164806?extraParams=%7B%22display_model_id%22%3A292600486013%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wg-mn3t0j8wvqiwd5,Pakan Pelet Benih Ikan PRIMA FEED PF1000 Curah - 1kg,28.500,-,-2%
https://shopee.co.id/REDINET-Jaring-Paranet-Anti-Uv-90-Pelindung-Sinar-Matahari-Shading-Net-2m-x-3m-1pcs-i.223069711.46910213150?extraParams=%7B%22display_model_id%22%3A440895936215%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wr-mo0kl3d96gw495,REDINET Jaring Paranet Anti Uv 90% Pelindung Sinar Matahari Shading Net 2m x 3m - 1pcs,47.000,-,-1%
https://shopee.co.id/Kapur-Pertanian-Dolomit-Dolomite-1-KG-i.223069711.46860169678?extraParams=%7B%22display_model_id%22%3A420892597003%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wt-mnzdvpd7fe2o29,Kapur Pertanian Dolomit Dolomite 1 KG,6.500,-,-7%
https://shopee.co.id/Media-Tanam-Sekam-Bakar-Fermentasi-Organik-1kg-i.223069711.46810227923?extraParams=%7B%22display_model_id%22%3A435897319607%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wh-mo0vravtx3b501,Media Tanam Sekam Bakar Fermentasi Organik 1kg,13.800,-,-3%
https://shopee.co.id/Kapur-Pertanian-Dolomite-Dolomit-Kemasan-Karung-50kg-i.223069711.46210175468?extraParams=%7B%22display_model_id%22%3A287600622504%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wk-mnzdvpdbspok03,Kapur Pertanian Dolomite Dolomit Kemasan Karung 50kg,55.500,-,-1%
https://shopee.co.id/Insektisida-Endosulfan-AKODAN-35ec-250ml-i.223069711.45760106277?extraParams=%7B%22display_model_id%22%3A425886835788%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wh-mnxqbdbd1r0lb5,Insektisida Endosulfan AKODAN 35ec - 250ml,52.500,-,-1%
https://shopee.co.id/Media-Tanam-Sekam-Mentah-Organik-Kemasan-Karung-4kg-i.223069711.45710230512?extraParams=%7B%22display_model_id%22%3A360896753979%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wt-mo0rb5lns4cg44,Media Tanam Sekam Mentah Organik Kemasan Karung 4kg,18.000,-,-3%
https://shopee.co.id/Nutrisi-AB-Mix-NETAFARM-utk-SAYURAN-DAUN-500lt-i.223069711.45710227418?extraParams=%7B%22display_model_id%22%3A420897111659%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wk-mo0u3crmelu0e4,Nutrisi AB Mix NETAFARM utk SAYURAN DAUN - 500lt,96.500,-,-1%
https://shopee.co.id/Media-Tanam-Sekam-Bakar-10-kg-i.223069711.45410228102?extraParams=%7B%22display_model_id%22%3A345897375604%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wo-mo0wbbpnv28235,Media Tanam - Sekam Bakar 10 kg,63.000,-,-1%
https://shopee.co.id/Media-Tanam-PASIR-MALANG-VULKANIK-Size-Random-isi-1kgMedia-Tanam-PASIR-MALANG-VULKANIK-Size-Random-isi-1kg-i.223069711.45410221580?extraParams=%7B%22display_model_id%22%3A267603235652%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822ws-mo0rb5lniadc9d,Media Tanam - PASIR MALANG VULKANIK Size Random isi 1kgMedia Tanam - PASIR MALANG VULKANIK Size Random isi 1kg,5.500,-,-8%
